marketId,marketName,outcomeName,bet9ja,livescorebet
1,1x2,Home,S_1X2,1001159858
2,To qualify,Home,S_12QUALIFY,
5,Winning method,Home regular time,,
7,Which team wins the rest of the match,Home,,
8,Next Goal,Home,,
9,Last Goal,Home,,
10,Double Chance,1 X,S_DC,1001159922
11,DNB,Home,S_DNB,1001159666
12,HNB,Draw,,
13,ANB,Home,S_AWAYNOBET,
14,Handicap,Home (0:1),S_1X2HND,1001224081
15,Winning margin,Home by 1,,
16,Asian Handicap,Home (-2.5),S_AH,1002275572
18,Over/Under,Over 0.5,S_OU,1001159926
19,Home O/U,Over 0.5,,1001159967
20,Away O/U,Over 0.5,,1001159633
21,Exact goals,0,S_EXACTGOAL,
23,Home Exact goals,0,,
24,Away Exact goals,0,,
25,Goal range,0-1,,
26,Odd/Even,Odd,,
27,Odd/Even Home,Odd,,
28,Odd/Even Away,Odd,,
29,GG/NG,Yes,S_GGNG,1001642858
30,Which team to score,,,
31,Home clean sheet,Yes,S_CLEANSH,
32,Away clean sheet,Yes,S_CLEANSA,
33,Home win to nil,Yes,,1001642866
34,Away win to nil,Yes,S_AWAYWINNIL,1001642867
35,1x2 & both teams to score,Home& Yes,S_1X2GGNG,
36,O/U & both teams to score,Over 2.5 & Yes,S_GGNGOU,
37,1x2 & O/U,Home & Under 1.5,S_1X2OU,
38,Goalscorer,no goal,,
39,Last goalscorer,no goal,,
40,Anytime goalscorer,no goal,,
45,Correct score,0:0,S_CSFT,
46,HT/FT correct score,0:0 0:0,S_HTFTCS,
47,HT/FT Result,Home/Home,S_HTFT,
48,Home to win both halves,Yes,,
49,Away to win both halves,Yes,S_AWAYWINBOTH,
50,Home to win either half,Yes,,
51,Away to win either half,Yes,S_AWAYWINHALF,
52,Highest scoring half,1st half,,
53,Home highest scoring half,1st half,,
54,Away highest scoring half,1st half,,
55,1st/2nd half both teams to score,No/No,,
56,Home to score in both halves,Yes,,
57,Away to score in both halves,Yes,S_AWAYSCOREBOTH,
58,Both halves over X goals,Yes,,
59,Both halves under X goals,Yes,,
60,1st half - 1x2,Home,S_1X21T,1000316018
62,1st half - Next goal,Home,,
63,1st half - double chance,1 X,S_DC1T,1001159668
64,1st half - DNB,Home,S_DNB1T,1001159884
65,1st half - handicap,Home (0:1),,
66,1st half - Asian Handicap,Home (-1.5),,1002275573
68,1st half - O/U,Over 0.5,S_OU1T,1001159532
69,1st half - Home O/U,Over 0.5,,1003194958
70,1st half - Away O/U,Over 0.5,,1003194956
71,1st half - exact goals,0,S_GOALS1T,
72,1st half - Home exact goals,0,,
73,1st half - Away exact goals,0,,
74,1st half - odd/even,Odd,,
75,1st half - both teams to score,Yes,S_GGNG1T,1001642863
76,1st half - Home clean sheet,Yes,,
77,1st half - Away clean sheet,Yes,,
78,1st half - 1x2 & GG/NG,Home& Yes,S_1X2HTGGNG,
79,1st half - 1x2 & O/U,Home & Under 1.5,S_1X2HTOU,
81,1st half - correct score,0:0,S_CS1T,
83,2nd half - 1x2,Home,S_1X22T,1001159826
84,2nd half- Nth goal,Home,,
85,2nd half - Double chance,1 X,S_DC2T,1001421320
86,2nd half - DNB,Home,S_DNB2T,1001421321
87,2nd half - Handicap,Home (0:1),,
88,2nd half - Asian Handicap,Home (-1.5),,
90,2nd half - O/U,Over 0.5,S_OU2T,1001243173
91,2nd half - Home O/U,Over 0.5,,
92,2nd half - Away O/U,Over 0.5,,
93,2nd half - Exact goals,0,S_GOALS2T,
94,2nd half - Odd/Even,Odd,,
95,2nd half - Both teams to score,Yes,S_GGNG2T,1001642868
96,2nd half - Home clean sheet,Yes,,
97,2nd half -Away clean sheet,Yes,,
98,2nd half -Correct score,0:0,S_CS2T,
100,When will the {!goalnr} goal be scored (15 min interval),1-15,,
101,When will the xth goal be scored (10 min interval),1-10,,
102,15 minutes-1x2 ,Home,,
103,15 minutes-{!goalnr} goal ,Home,,
104,15 minutes-O/U ,Over 0.5,,
105,10 minutes-1x2 from {from} to {to},Home,,
106,10 minutes-{!goalnr} goal ,Home,,
107,10 minutes-O/U ,Over 0.5,,
108,5 minutes-1x2 ,Home,,
109,5 minutes-{!goalnr} goal ,Home,,
110,5 minutes-O/U ,Over 0.5,,
112,Overtime & goal,Yes,,
122,Will there be a penalty shootout,Yes,,
136,Booking 1x2,Home,,
137,Xth Booking,Home,,
139,Bookings O/U,Over 3.5,,
140,Home bookings O/U,Over 1.5,,
141,Away bookings O/U,Over 1.5,,
142,Exact bookings,0-3,S_BTLC,
142,Exact bookings,0-3,S_EXACTBOOK,
143,Home exact bookings,0-1,S_BOOKSHOME,
144,Away exact bookings,0-1,S_BOOKSAWAY,
146,Sending off,Yes,,
147,Home sending off,Yes,,
148,Away sending off,Yes,,
149,1st half - booking 1x2,Home,,
150,1st half - Which team is given the Nth booking,Home,,
152,1st half - Bookings O/U,Over 0.5,,
155,1st half - exact bookings,0,S_ECH,
156,1st half - Home exact bookings,0,,
157,1st half - Away exact bookings,0,,
159,1st half - sending off,Yes,,
160,1st half - Home sending off,Yes,,
161,1st half - Away sending off,Yes,,
162,Corner 1x2,Home,,
163,Xth corner,Home,,
164,Last corner,Home,,
166,Corners O/U,Over 7.5,,
167,Home corners O/U,Over 6.5,S_CORNERSHOMEOU,
168,Away corners O/U,Over 3.5,S_CORNERSAWAYOU,
169,Corner range,0-8,,
170,Home corner range,0-2,,
171,Away corner range,0-2,,
172,Odd/Even corners,Odd,,
173,1st half - Corner 1x2,Home,,
174,1st half - {!cornernr} corner,Home,S_CHANCEMIXGGOU,
175,1st half - Last corner,Home,,
177,1st half -Corners O/U,Over 3.5,S_C1HTOU,
178,1st half - Home  corners O/U,Over 2.5,,
179,1st half - Away  corners O/U,Over 1.5,,
